"Product","Category","Brand","Price"
Clipper | Lighter,Accessories,,3
Highatus | S Gummy 100mg | Watermelon,Edibles,Highatus,20
Highatus | S Gummy 100mg | Blueberry,Edibles,Highatus,20
Highatus | S Gummy 100mg | PomBerry CBN,Edibles,Highatus,20
Highatus | S Gummy 100mg | L'Orange,Edibles,Highatus,20
Eyeelle | Flower 3.5G | S | Grapefruit Coolada,Eighths,Eyeelle,15
Highatus | S Gummy 100mg | Strawberry Lemonade,Edibles,Highatus,20
Highatus | S Gummy 100mg | Pineapple,Edibles,Highatus,20
$25 Gift Card,Gift Cards,Birchmount,25
$100 Gift Card,Gift Cards,Birchmount,100
$50 Gift Card,Gift Cards,Birchmount,50
$200 Gift Card,Gift Cards,Birchmount,200
Dizzies | Pre-Rolls 4g (10pk) | S | Frozen Lemonade,Pre-Rolls,Dizzies,26
Humo | Pre-rolls 5pk (.7g) | H | PetroLimon,Pre-Rolls,Humo,30
Cal Prime | Pre-Roll 1g | Donny Pop,Pre-Rolls,,10
The Fight | Flower 14g | Runtz,Halves,The Fight,70
Eyeelle | Flower 3.5G | S | Cheetah Piss,Eighths,Eyeelle,15
Sip Elixirs | Beverage 100mg | Xpresso,Beverages,Sip Elixirs,10
Sherbinskis | 510 Thread Battery,Accessories,Sherbinskis,10
Raw | Organic Hemp Papers (32pk) | King Size Slim,Accessories,Raw,4
The 8th | LRE Dispo 1g | S | Lemon Pie,Disposables,The 8th,30
Raw | Classic Papers (33pk) | King Slim Size (Wide),Accessories,Raw,3
WCC | IN Pre-Roll 1.2g | S | Blue Dream,Pre-Rolls,West Coast Cure (WCC),19
LEVEL | Single Protab 100mg | Indica,Edibles,Level,10
Eyeelle | Flower 3.5G | H | Pure Michigan,Eighths,Eyeelle,15
Stiiizy | Pod 1g | S | Premium Jack,Cartridges,Stiiizy,35
The 8th | LRE Dispo 1g | H | Turbo Cherries,Disposables,The 8th,30
Eyeelle | Flower 3.5G | I | Black Ice,Eighths,Eyeelle,15
Wyld | Gummies 100mg | Sour Tangie,Gummies,WYLD,25
The 8th | LRE Dispo 1g | S | Original Sour Diesel,Disposables,The 8th,30
Eyeelle | Flower 3.5G | H | Lime Cereal,Eighths,Eyeelle,15
Dab Daddy | LResin Dispo 1g | I | TMC X Jealousy,Disposables,Dab Daddy,25
The Fight | Flower 14g | H | Gorilla Glue Zkittlez,Halves,The Fight,70
Huxleys | Sex Gelcaps 5mg | H | Passion Fruit,Edibles,Huxleys,40
Wyld | Gummies 100mg | Sour Cherry,Gummies,WYLD,25
Good Tide | Gummies 100mg | H | Guava,Gummies,Good Tide,25
Good Tide | Gummies 100mg | S | Pineapple,Gummies,Good Tide,25
The 8th | LRE Dispo 1g | H | White Runtz,Disposables,The 8th,30
Sip Elixirs | Beverage 100mg | Indica | Dreamberry (Sleep),Beverages,Sip Elixirs,10
Wyld | Gummies 100mg | Blood Orange,Gummies,WYLD,25
The 8th | LRE Dispo 1g | I | Chemdawg OG,Disposables,The 8th,30
The 8th | LRE Dispo 1g | I | Lights Out,Disposables,The 8th,30
Dizzies | Pre-Rolls 4g (10pk) | H | Black Cherry Bomb,Pre-Rolls,Dizzies,26
Hi | Pre-Roll .5G | Fire Cracker (promo),Pre-Rolls,Hi,1
Pacific Stone | Pre-Rolls .5g (2pk) | H | 805 Glue,Pre-Rolls,Pacific Stone,10
Wyld | Gummies 100mg | Huckleberry,Gummies,WYLD,25
Almora Farm | LR Bev 12oz | Iced Tea Lemonade,Beverages,Almora Farm,12
Stiiizy | Pod 1g | H | Birthday Cake,Cartridges,Stiiizy,35
Lolo | Pre-Roll 1g | S | Riviera Rush,Pre-Rolls,Lolo,6
Heavy Hitters | Gummy 100mg | Atomic Apple,Gummies,Heavy Hitters,20
Stiiizy | Pod 1g | I | Biscotti,Cartridges,Stiiizy,35
Stiiizy | Pod 1g | S | Sour Tangie,Cartridges,Stiiizy,35
Almora Farm | LR Bev 12oz | OG Lemonade,Beverages,Almora Farm,12
Delights | Gummy 100MG | S | Strawberry,Gummies,Delights,7
Foreign Genetics | Flower 1g | S | Sherblato (PROMO),Flower,Foreign Genetics,2
Stiiizy | Pod 1g | S | Sour Diesel,Cartridges,Stiiizy,35
Eyeelle | Flower 3.5G | I | Zerealz Pie,Eighths,Eyeelle,15
Stiiizy | Pod 1g | I | SFV OG,Cartridges,Stiiizy,35
Stiiizy | Pod 1g | S | Orange Sunset,Cartridges,Stiiizy,35
HB | Flower 3.5g | SFV OG,Eighths,Heirbloom,45
Preferred Gardens | Pre-Roll 1g | Lazer Gun,Pre-Rolls,Preferred Gardens,12
Sip Elixirs | Beverage 100mg | Citrus Spark,Beverages,Sip Elixirs,10
Wyld | Gummies 100mg | Pomegranate,Gummies,WYLD,25
Wyld | Gummies 100mg | Elderberry,Gummies,WYLD,25
Wyld | Gummies 100mg | Raspberry,Gummies,WYLD,25
Bee Line | Organic Hemp Wick 9ft,Accessories,Bee Line,4
Sauce | Dispo 1g | S | Jack Diesel,Disposables,Sauce,30
CBX | Rosin 1G | T2 | H | GM - UHOH (Promo),Concentrate,Cannabiotix (CBX),0.01
Royal Blunts | Pre-roll 1g | S | Jack Herer,Pre-Rolls,Royal Blunts,20
Stiiizy | Pod 1g | H | Pineapple Runtz,Cartridges,Stiiizy,35
Wyld | Gummies 100mg | Grapefruit 1:1:1,Gummies,WYLD,25
Clipper | Jet Flame Lighter,Accessories,West Coat Hookah & Glass,3
Royal Blunts | Blunt 2pk 2g | VVZ Diamonds,Pre-Rolls,Royal Blunts,35
Stiiizy | Pod 1g | H | Do-Si-Dos,Cartridges,Stiiizy,35
